Código;Ação;Tipo;Qtde. Teórica;Part. (%)
RRRP3;3R PETROLEUM;ON      NM;235.661.666;0,356
ALOS3;ALLOS;ON      NM;532.616.595;0,618
ALPA4;ALPARGATAS;PN      N1;208.965.950;0,091
ABEV3;AMBEV S/A;ON;4.394.245.879;2,718
ARZZ3;AREZZO CO;ON  EDJ NM;62.305.891;0,175
ASAI3;ASSAI;ON      NM;1.349.645.897;0,794
AZUL4;AZUL;PN      N2;327.593.725;0,258
B3SA3;B3;ON      NM;5.694.552.584;3,365
BBSE3;BBSEGURIDADE;ON      NM;671.750.768;0,986
BBDC3;BRADESCO;ON      N1;1.500.728.902;0,946
BBDC4;BRADESCO;PN      N1;5.146.576.868;3,65
BRAP4;BRADESPAR;PN  EDJ N1;251.003.438;0,293
BBAS3;BRASIL;ON  EDJ NM;1.420.949.112;3,309
BRKM5;BRASKEM;PNA     N1;265.479.055;0,243
BRFS3;BRF SA;ON      NM;1.677.525.446;1,093
BPAC11;BTGP BANCO;UNT     N2;1.150.645.866;1,729
CRFB3;CARREFOUR BR;ON      NM;531.372.207;0,265
BHIA3;CASAS BAHIA;ON      NM;2.361.578.440;0,063
CCRO3;CCR SA;ON      NM;995.335.937;0,598
CMIG4;CEMIG;PN      N1;1.437.415.777;0,832
CIEL3;CIELO;ON      NM;1.095.462.329;0,191
COGN3;COGNA ON;ON      NM;1.815.524.541;0,251
CPLE6;COPEL;PNB     N2;1.679.335.290;0,714
CSAN3;COSAN;ON      NM;1.168.097.881;0,968
CPFE3;CPFL ENERGIA;ON      NM;187.732.538;0,314
CMIN3;CSNMINERACAO;ON  ED  N2;1.110.559.345;0,36
CVCB3;CVC BRASIL;ON      NM;443.905.649;0,063
CYRE3;CYRELA REALT;ON      NM;265.784.616;0,245
DXCO3;DEXCO;ON      NM;303.055.637;0,1
ELET3;ELETROBRAS;ON      N1;1.980.568.384;3,641
ELET6;ELETROBRAS;PNB     N1;270.230.714;0,546
EMBR3;EMBRAER;ON      NM;734.632.705;0,667
ENGI11;ENERGISA;UNT     N2;290.435.910;0,684
ENEV3;ENEVA;ON      NM;1.578.931.315;0,924
EGIE3;ENGIE BRASIL;ON      NM;255.230.961;0,51
EQTL3;EQUATORIAL;ON      NM;1.095.587.251;1,717
EZTC3;EZTEC;ON  ED  NM;91.514.307;0,072
FLRY3;FLEURY;ON      NM;345.269.967;0,27
GGBR4;GERDAU;PN  ED  N1;1.118.525.506;1,204
GOAU4;GERDAU MET;PN  ED  N1;660.411.219;0,328
GOLL4;GOL;PN      N2;198.184.909;0,081
NTCO3;GRUPO NATURA;ON      NM;839.638.069;0,606
SOMA3;GRUPO SOMA;ON      NM;496.029.967;0,151
HAPV3;HAPVIDA;ON      NM;4.324.011.467;0,925
HYPE3;HYPERA;ON      NM;409.490.388;0,643
IGTI11;IGUATEMI S.A;UNT     N1;217.622.138;0,218
IRBR3;IRBBRASIL RE;ON      NM;81.838.843;0,166
ITSA4;ITAUSA;PN      N1;5.197.306.576;2,378
ITUB4;ITAUUNIBANCO;PN      N1;4.801.593.832;6,784
JBSS3;JBS;ON      NM;1.134.986.472;1,113
KLBN11;KLABIN S/A;UNT     N2;706.747.385;0,75
RENT3;LOCALIZA;ON      NM;852.600.726;2,356
LWSA3;LOCAWEB;ON      NM;425.161.586;0,121
LREN3;LOJAS RENNER;ON      NM;951.318.467;0,63
MGLU3;MAGAZ LUIZA;ON      NM;2.867.627.068;0,281
MRFG3;MARFRIG;ON      NM;292.587.273;0,114
BEEF3;MINERVA;ON      NM;261.036.182;0,084
MRVE3;MRV;ON      NM;376.187.582;0,173
MULT3;MULTIPLAN;ON      N2;266.965.257;0,33
PCAR3;P.ACUCAR-CBD;ON      NM;159.430.826;0,027
PETR3;PETROBRAS;ON  EDJ N2;2.585.311.860;4,488
PETR4;PETROBRAS;PN  EDJ N2;4.566.445.852;7,401
RECV3;PETRORECSA;ON      NM;274.957.807;0,251
PRIO3;PETRORIO;ON      NM;798.274.909;1,763
PETZ3;PETZ;ON      NM;329.077.188;0,063
RADL3;RAIADROGASIL;ON      NM;1.263.596.819;1,643
RAIZ4;RAIZEN;PN      N2;1.193.671.389;0,2
RDOR3;REDE D OR;ON      NM;1.168.230.366;1,377
RAIL3;RUMO S.A.;ON      NM;1.218.352.541;1,284
SBSP3;SABESP;ON      NM;340.001.799;1,017
SANB11;SANTANDER BR;UNT;342.918.449;0,484
SMTO3;SAO MARTINHO;ON      NM;143.294.210;0,219
CSNA3;SID NACIONAL;ON  ED;600.865.451;0,433
SLCE3;SLC AGRICOLA;ON      NM;101.824.365;0,177
SUZB3;SUZANO S.A.;ON      NM;683.452.836;1,666
TAEE11;TAESA;UNT EDJ N2;218.568.234;0,365
VIVT3;TELEF BRASIL;ON;423.091.712;0,987
TIMS3;TIM;ON      NM;807.896.814;0,623
TOTS3;TOTVS;ON      NM;514.122.351;0,781
UGPA3;ULTRAPAR;ON      NM;1.086.411.192;1,239
USIM5;USIMINAS;PNA     N1;515.117.391;0,184
VALE3;VALE;ON  EDJ NM;4.427.123.466;15,42
VAMO3;VAMOS;ON      NM;421.383.330;0,189
VBBR3;VIBRA;ON      NM;1.114.412.532;1,106
WEGE3;WEG;ON      NM;1.481.593.024;2,295
YDUQ3;YDUQS PART;ON      NM;289.347.914;0,263
